数额,损失,date,活动日,周几
729,0,2015-01-24,no,周六
958,0,2015-01-25,no,周日
982,0,2015-01-26,no,周一
751,0,2015-01-27,no,周二
741,0,2015-01-28,no,周三
2234,1,2015-01-29,no,周四
1138,0,2015-01-30,no,周五
1083,0,2015-01-31,no,周六
714,0,2015-02-01,no,周日
540,0,2015-02-02,no,周一
1281,0,2015-02-03,no,周二
1982,1,2015-02-04,no,周三
1426,0,2015-02-05,no,周四
633,0,2015-02-06,no,周五
778,0,2015-02-07,no,周六
1153,0,2015-02-08,no,周日
1415,0,2015-02-09,no,周一
1611,1,2015-02-10,yes,周二
1229,0,2015-02-11,no,周三
744,0,2015-02-12,no,周四
1211,0,2015-02-13,no,周五
1074,0,2015-02-14,no,周六
870,0,2015-02-15,no,周日
747,0,2015-02-16,no,周一
1106,0,2015-02-17,no,周二
2008,1,2015-02-18,no,周三
860,0,2015-02-19,no,周四
909,0,2015-02-20,no,周五
988,0,2015-02-21,no,周六
541,0,2015-02-22,no,周日
821,0,2015-02-23,no,周一
323,0,2015-02-24,no,周二
1764,1,2015-02-25,no,周三
1721,1,2015-02-26,no,周四
1196,0,2015-02-27,no,周五
1050,0,2015-02-28,no,周六
1128,0,2015-03-01,no,周日
931,0,2015-03-02,no,周一
916,0,2015-03-03,yes,周二
1909,1,2015-03-04,yes,周三
891,0,2015-03-05,yes,周四
1052,0,2015-03-06,no,周五
590,0,2015-03-07,no,周六
1058,0,2015-03-08,no,周日
872,0,2015-03-09,no,周一
363,0,2015-03-10,no,周二
949,0,2015-03-11,no,周三
646,0,2015-03-12,no,周四
1045,0,2015-03-13,no,周五
500,0,2015-03-14,no,周六
898,0,2015-03-15,no,周日
812,0,2015-03-16,no,周一
1327,0,2015-03-17,no,周二
1955,1,2015-03-18,no,周三
968,0,2015-03-19,no,周四
1989,1,2015-03-20,no,周五
1820,1,2015-03-21,no,周六
1212,0,2015-03-22,no,周日
1496,0,2015-03-23,no,周一
1378,0,2015-03-24,no,周二
746,0,2015-03-25,no,周三
412,0,2015-03-26,no,周四
398,0,2015-03-27,no,周五
446,0,2015-03-28,no,周六
109,0,2015-03-29,no,周日
472,0,2015-03-30,no,周一
504,0,2015-03-31,no,周二
1511,1,2015-04-01,no,周三
597,0,2015-04-02,no,周四
558,0,2015-04-03,no,周五
531,0,2015-04-04,no,周六
578,0,2015-04-05,no,周日
531,0,2015-04-06,no,周一
617,0,2015-04-07,no,周二
1037,0,2015-04-08,no,周三
1300,0,2015-04-09,no,周四
642,0,2015-04-10,no,周五
1385,0,2015-04-11,no,周六
1104,0,2015-04-12,no,周日
895,0,2015-04-13,no,周一
1061,0,2015-04-14,no,周二
2025,1,2015-04-15,no,周三
974,0,2015-04-16,no,周四
712,0,2015-04-17,no,周五
626,0,2015-04-18,no,周六
403,0,2015-04-19,no,周日
990,0,2015-04-20,no,周一
960,0,2015-04-21,no,周二
430,0,2015-04-22,no,周三
610,0,2015-04-23,no,周四
1337,0,2015-04-24,no,周五
1049,0,2015-04-25,no,周六
722,0,2015-04-26,no,周日
1079,0,2015-04-27,no,周一
1006,0,2015-04-28,no,周二
2032,1,2015-04-29,no,周三
2056,1,2015-04-30,yes,周四
2021,1,2015-05-01,yes,周五
794,0,2015-05-02,no,周六
818,0,2015-05-03,no,周日
964,0,2015-05-04,no,周一
638,0,2015-05-05,no,周二
1296,0,2015-05-06,no,周三
906,0,2015-05-07,no,周四
1925,1,2015-05-08,no,周五
1200,0,2015-05-09,no,周六
482,0,2015-05-10,no,周日
1171,0,2015-05-11,no,周一
875,0,2015-05-12,no,周二
1545,1,2015-05-13,no,周三
921,0,2015-05-14,no,周四
922,0,2015-05-15,no,周五
777,0,2015-05-16,no,周六
1333,0,2015-05-17,no,周日
574,0,2015-05-18,no,周一
2234,1,2015-05-19,no,周二
917,0,2015-05-20,no,周三
1130,0,2015-05-21,no,周四
370,0,2015-05-22,no,周五
665,0,2015-05-23,no,周六
739,0,2015-05-24,no,周日
289,0,2015-05-25,no,周一
1272,0,2015-05-26,no,周二
1765,1,2015-05-27,no,周三
317,0,2015-05-28,no,周四
1026,0,2015-05-29,no,周五
1415,0,2015-05-30,no,周六
