销售量,气温,日期,周几
144,23.5,2014/7/5,周六
185,29.6,2014/7/6,周日
220,26.7,2014/7/7,周一
232,26.2,2014/7/8,周二
227,19.6,2014/7/9,周三
240,30.4,2014/7/10,周四
150,23.5,2014/7/11,周五
284,27.2,2014/7/12,周六
196,28.7,2014/7/13,周日
260,29.6,2014/7/14,周一
227,30,2014/7/15,周二
248,25.4,2014/7/16,周三
248,27.7,2014/7/17,周四
103,19.7,2014/7/18,周五
158,25.9,2014/7/19,周六
139,28.7,2014/7/20,周日
174,25,2014/7/21,周一
217,22.9,2014/7/22,周二
203,27.3,2014/7/23,周三
159,26.6,2014/7/24,周四
199,21.4,2014/7/25,周五
159,22.5,2014/7/26,周六
213,29.5,2014/7/27,周日
196,24.7,2014/7/28,周一
143,20.4,2014/7/29,周二
214,27.5,2014/7/30,周三
191,24.6,2014/7/31,周四
223,34.1,2014/8/1,周五
203,31.7,2014/8/2,周六
251,29.7,2014/8/3,周日
266,32.7,2014/8/4,周一
187,25,2014/8/5,周二
232,31,2014/8/6,周三
195,27.4,2014/8/7,周四
184,31.1,2014/8/8,周五
219,28.8,2014/8/9,周六
197,30.9,2014/8/10,周日
256,33,2014/8/11,周一
179,29,2014/8/12,周二
221,32.1,2014/8/13,周三
167,25.4,2014/8/14,周四
224,26.8,2014/8/15,周五
277,33.6,2014/8/16,周六
242,30.1,2014/8/17,周日
156,22.8,2014/8/18,周一
191,24.9,2014/8/19,周二
202,28.4,2014/8/20,周三
214,31.6,2014/8/21,周四
172,28.7,2014/8/22,周五
187,30.9,2014/8/23,周六
227,31.9,2014/8/24,周日
260,34,2014/8/25,周一
220,29.2,2014/8/26,周二
178,28.8,2014/8/27,周三
196,23.7,2014/8/28,周四
250,29.3,2014/8/29,周五
181,27.3,2014/8/30,周六
247,26.1,2014/8/31,周日
203,18,2014/9/1,周一
236,27.4,2014/9/2,周二
204,28.3,2014/9/3,周三
167,22.6,2014/9/4,周四
249,30.9,2014/9/5,周五
139,14.9,2014/9/6,周六
176,20.9,2014/9/7,周日
182,24.7,2014/9/8,周一
189,24.2,2014/9/9,周二
169,19.5,2014/9/10,周三
228,28.9,2014/9/11,周四
154,22,2014/9/12,周五
178,19.6,2014/9/13,周六
193,23.9,2014/9/14,周日
212,27.7,2014/9/15,周一
146,21.5,2014/9/16,周二
180,21.8,2014/9/17,周三
172,23.9,2014/9/18,周四
198,20.8,2014/9/19,周五
142,23.3,2014/9/20,周六
165,25.2,2014/9/21,周日
201,26.7,2014/9/22,周一
190,26.6,2014/9/23,周二
183,22,2014/9/24,周三
156,23.3,2014/9/25,周四
217,26.6,2014/9/26,周五
202,26.7,2014/9/27,周六
133,25.2,2014/9/28,周日
198,23.7,2014/9/29,周一
155,17.8,2014/9/30,周二
185,18,2014/10/1,周三
120,16,2014/10/2,周四
180,24.6,2014/10/3,周五
128,13.2,2014/10/4,周六
150,12.7,2014/10/5,周日
201,19.4,2014/10/6,周一
210,19.7,2014/10/7,周二
160,19.3,2014/10/8,周三
173,18,2014/10/9,周四
122,18.7,2014/10/10,周五
104,13.6,2014/10/11,周六
175,19.4,2014/10/12,周日
63,14,2014/10/13,周一
159,15.6,2014/10/14,周二
121,10.4,2014/10/15,周三
119,14.1,2014/10/16,周四
190,19.3,2014/10/17,周五
168,19.2,2014/10/18,周六
52,17,2014/10/19,周日
169,14,2014/10/20,周一
166,21.2,2014/10/21,周二
53,12.3,2014/10/22,周三
120,17.3,2014/10/23,周四
121,15.7,2014/10/24,周五
138,13.9,2014/10/25,周六
105,17.9,2014/10/26,周日
195,14.6,2014/10/27,周一
91,17.7,2014/10/28,周二
141,18.8,2014/10/29,周三
140,19,2014/10/30,周四
157,18.5,2014/10/31,周五
158,15.4,2014/11/1,周六
141,10.6,2014/11/2,周日
128,12.8,2014/11/3,周一
121,11.2,2014/11/4,周二
234,14.7,2014/11/5,周三
126,11.1,2014/11/6,周四
147,13.7,2014/11/7,周五
109,10.9,2014/11/8,周六
117,8.8,2014/11/9,周日
150,15.7,2014/11/10,周一
144,14.3,2014/11/11,周二
131,17.3,2014/11/12,周三
135,12.3,2014/11/13,周四
134,15.5,2014/11/14,周五
140,18,2014/11/15,周六
76,11.3,2014/11/16,周日
125,8.1,2014/11/17,周一
97,11.4,2014/11/18,周二
91,11.5,2014/11/19,周三
137,12.6,2014/11/20,周四
117,17.2,2014/11/21,周五
122,11.1,2014/11/22,周六
118,13.2,2014/11/23,周日
110,11.4,2014/11/24,周一
128,12.2,2014/11/25,周二
174,13,2014/11/26,周三
158,16.1,2014/11/27,周四
118,12.5,2014/11/28,周五
118,14.2,2014/11/29,周六
122,14.4,2014/11/30,周日
90,4.6,2014/12/1,周一
45,10.7,2014/12/2,周二
91,9.9,2014/12/3,周三
76,3.1,2014/12/4,周四
130,7.3,2014/12/5,周五
88,4.9,2014/12/6,周六
37,1.4,2014/12/7,周日
105,8.1,2014/12/8,周一
131,7.4,2014/12/9,周二
134,7.3,2014/12/10,周三
112,8.2,2014/12/11,周四
86,10.2,2014/12/12,周五
72,8.2,2014/12/13,周六
104,5.8,2014/12/14,周日
45,5.4,2014/12/15,周一
125,7.2,2014/12/16,周二
85,8.5,2014/12/17,周三
55,4.5,2014/12/18,周四
91,7,2014/12/19,周五
117,10.5,2014/12/20,周六
68,7.3,2014/12/21,周日
121,5.5,2014/12/22,周一
75,6.8,2014/12/23,周二
106,10.9,2014/12/24,周三
110,9.3,2014/12/25,周四
119,11.3,2014/12/26,周五
108,8,2014/12/27,周六
95,8.8,2014/12/28,周日
112,5.9,2014/12/29,周一
113,9.4,2014/12/30,周二
86,6.1,2014/12/31,周三
