品名,日期,销售额
大阪烧,2015/5/1,5592
大阪烧,2015/5/2,5430
大阪烧,2015/5/3,5275
大阪烧,2015/5/4,4303
大阪烧,2015/5/5,4463
大阪烧,2015/5/6,4151
大阪烧,2015/5/7,4351
大阪烧,2015/5/8,5397
大阪烧,2015/5/9,5723
大阪烧,2015/5/10,5553
大阪烧,2015/5/11,4532
大阪烧,2015/5/12,4290
大阪烧,2015/5/13,4273
大阪烧,2015/5/14,4430
大阪烧,2015/5/15,5995
大阪烧,2015/5/16,5401
大阪烧,2015/5/17,5620
大阪烧,2015/5/18,4194
大阪烧,2015/5/19,4514
大阪烧,2015/5/20,4122
大阪烧,2015/5/21,4720
大阪烧,2015/5/22,6002
大阪烧,2015/5/23,5913
大阪烧,2015/5/24,5855
大阪烧,2015/5/25,4288
大阪烧,2015/5/26,4426
大阪烧,2015/5/27,4730
大阪烧,2015/5/28,4472
大阪烧,2015/5/29,6109
大阪烧,2015/5/30,5505
炸鸡,2015/3/1,9994
炸鸡,2015/3/2,7033
炸鸡,2015/3/3,7519
炸鸡,2015/3/4,7352
炸鸡,2015/3/5,7033
炸鸡,2015/3/6,9718
炸鸡,2015/3/7,10387
炸鸡,2015/3/8,10365
炸鸡,2015/3/9,7047
炸鸡,2015/3/10,7117
炸鸡,2015/3/11,8097
炸鸡,2015/3/12,7557
炸鸡,2015/3/13,10433
炸鸡,2015/3/14,9530
炸鸡,2015/3/15,9415
炸鸡,2015/3/16,7615
炸鸡,2015/3/17,6867
炸鸡,2015/3/18,7488
炸鸡,2015/3/19,6994
炸鸡,2015/3/20,10481
炸鸡,2015/3/21,9789
炸鸡,2015/3/22,9623
炸鸡,2015/3/23,7236
炸鸡,2015/3/24,7941
炸鸡,2015/3/25,7179
炸鸡,2015/3/26,7067
炸鸡,2015/3/27,8962
炸鸡,2015/3/28,8965
炸鸡,2015/3/29,9560
炸鸡,2015/3/30,7015
炸鸡,2015/3/31,6961
炸鸡,2015/4/1,7637
炸鸡,2015/4/2,6712
炸鸡,2015/4/3,9979
炸鸡,2015/4/4,9310
炸鸡,2015/4/5,9419
炸鸡,2015/4/6,7854
炸鸡,2015/4/7,7998
炸鸡,2015/4/8,7059
炸鸡,2015/4/9,8061
炸鸡,2015/4/10,10032
炸鸡,2015/4/11,9952
炸鸡,2015/4/12,8736
炸鸡,2015/4/13,7225
炸鸡,2015/4/14,7347
炸鸡,2015/4/15,7469
炸鸡,2015/4/16,7673
炸鸡,2015/4/17,10392
炸鸡,2015/4/18,9821
炸鸡,2015/4/19,9457
炸鸡,2015/4/20,7442
炸鸡,2015/4/21,6728
炸鸡,2015/4/22,7027
炸鸡,2015/4/23,7228
炸鸡,2015/4/24,9014
炸鸡,2015/4/25,10231
炸鸡,2015/4/26,8928
炸鸡,2015/4/27,7828
炸鸡,2015/4/28,7449
炸鸡,2015/4/29,7620
炸鸡,2015/4/30,6895
炸鸡,2015/5/1,9849
炸鸡,2015/5/2,9233
炸鸡,2015/5/3,10025
炸鸡,2015/5/4,7231
炸鸡,2015/5/5,8073
炸鸡,2015/5/6,8070
炸鸡,2015/5/7,7715
炸鸡,2015/5/8,9128
炸鸡,2015/5/9,9060
炸鸡,2015/5/10,9773
炸鸡,2015/5/11,7037
炸鸡,2015/5/12,7426
炸鸡,2015/5/13,7801
炸鸡,2015/5/14,6890
炸鸡,2015/5/15,9411
炸鸡,2015/5/16,9539
炸鸡,2015/5/17,10300
炸鸡,2015/5/18,8008
炸鸡,2015/5/19,7944
炸鸡,2015/5/20,7637
炸鸡,2015/5/21,8044
炸鸡,2015/5/22,9626
炸鸡,2015/5/23,9741
炸鸡,2015/5/24,9280
炸鸡,2015/5/25,7155
炸鸡,2015/5/26,6672
炸鸡,2015/5/27,7384
炸鸡,2015/5/28,7928
炸鸡,2015/5/29,8647
炸鸡,2015/5/30,8773
辣白菜,2015/3/1,2425
辣白菜,2015/3/2,2108
辣白菜,2015/3/3,2094
辣白菜,2015/3/4,2189
辣白菜,2015/3/5,1987
辣白菜,2015/3/6,2379
辣白菜,2015/3/7,2677
辣白菜,2015/3/8,2734
辣白菜,2015/3/9,1855
辣白菜,2015/3/10,1959
辣白菜,2015/3/11,1890
辣白菜,2015/3/12,1823
辣白菜,2015/3/13,2546
辣白菜,2015/3/14,2374
辣白菜,2015/3/15,2457
辣白菜,2015/3/16,1822
辣白菜,2015/3/17,2068
辣白菜,2015/3/18,1919
辣白菜,2015/3/19,1840
辣白菜,2015/3/20,2377
辣白菜,2015/3/21,2798
辣白菜,2015/3/22,2732
辣白菜,2015/3/23,2127
辣白菜,2015/3/24,2193
辣白菜,2015/3/25,1841
辣白菜,2015/3/26,1840
辣白菜,2015/3/27,2755
辣白菜,2015/3/28,2748
辣白菜,2015/3/29,2345
辣白菜,2015/3/30,2112
辣白菜,2015/3/31,2092
辣白菜,2015/4/1,2052
辣白菜,2015/4/2,1992
辣白菜,2015/4/3,2421
辣白菜,2015/4/4,2344
辣白菜,2015/4/5,2575
辣白菜,2015/4/6,1997
辣白菜,2015/4/7,1956
辣白菜,2015/4/8,1986
辣白菜,2015/4/9,2085
辣白菜,2015/4/10,2369
辣白菜,2015/4/11,2524
辣白菜,2015/4/12,2757
辣白菜,2015/4/13,2134
辣白菜,2015/4/14,1895
辣白菜,2015/4/15,1942
辣白菜,2015/4/16,2143
辣白菜,2015/4/17,2784
辣白菜,2015/4/18,2494
辣白菜,2015/4/19,2416
辣白菜,2015/4/20,2082
辣白菜,2015/4/21,1842
辣白菜,2015/4/22,1813
辣白菜,2015/4/23,2200
辣白菜,2015/4/24,2358
辣白菜,2015/4/25,2516
辣白菜,2015/4/26,2816
辣白菜,2015/4/27,2047
辣白菜,2015/4/28,1915
辣白菜,2015/4/29,2095
辣白菜,2015/4/30,2134
辣白菜,2015/5/1,2503
辣白菜,2015/5/2,2596
辣白菜,2015/5/3,2703
辣白菜,2015/5/4,2057
辣白菜,2015/5/5,2058
辣白菜,2015/5/6,2191
辣白菜,2015/5/7,1966
辣白菜,2015/5/8,2402
辣白菜,2015/5/9,2614
辣白菜,2015/5/10,2457
辣白菜,2015/5/11,1995
辣白菜,2015/5/12,1948
辣白菜,2015/5/13,2193
辣白菜,2015/5/14,1955
辣白菜,2015/5/15,2459
辣白菜,2015/5/16,2664
辣白菜,2015/5/17,2411
辣白菜,2015/5/18,2187
辣白菜,2015/5/19,2006
辣白菜,2015/5/20,1865
辣白菜,2015/5/21,2049
辣白菜,2015/5/22,2853
辣白菜,2015/5/23,2688
辣白菜,2015/5/24,2558
辣白菜,2015/5/25,1929
辣白菜,2015/5/26,2134
辣白菜,2015/5/27,1858
辣白菜,2015/5/28,1877
辣白菜,2015/5/29,2806
辣白菜,2015/5/30,2500
奶汁烤菜,2015/3/1,2276
奶汁烤菜,2015/3/2,1902
奶汁烤菜,2015/3/3,1690
奶汁烤菜,2015/3/4,1626
奶汁烤菜,2015/3/5,1766
奶汁烤菜,2015/3/6,2332
奶汁烤菜,2015/3/7,2303
奶汁烤菜,2015/3/8,2266
奶汁烤菜,2015/3/9,1932
奶汁烤菜,2015/3/10,1784
奶汁烤菜,2015/3/11,1812
奶汁烤菜,2015/3/12,1967
奶汁烤菜,2015/3/13,2469
奶汁烤菜,2015/3/14,2204
奶汁烤菜,2015/3/15,2251
奶汁烤菜,2015/3/16,1970
奶汁烤菜,2015/3/17,1831
奶汁烤菜,2015/3/18,1894
奶汁烤菜,2015/3/19,1754
奶汁烤菜,2015/3/20,2466
奶汁烤菜,2015/3/21,2358
奶汁烤菜,2015/3/22,2534
奶汁烤菜,2015/3/23,1687
奶汁烤菜,2015/3/24,1722
奶汁烤菜,2015/3/25,1654
奶汁烤菜,2015/3/26,1696
奶汁烤菜,2015/3/27,2563
奶汁烤菜,2015/3/28,2245
奶汁烤菜,2015/3/29,2446
奶汁烤菜,2015/3/30,1903
奶汁烤菜,2015/3/31,1658
奶汁烤菜,2015/4/1,1706
奶汁烤菜,2015/4/2,1717
奶汁烤菜,2015/4/3,2153
奶汁烤菜,2015/4/4,2161
奶汁烤菜,2015/4/5,2570
奶汁烤菜,2015/4/6,1975
奶汁烤菜,2015/4/7,1669
奶汁烤菜,2015/4/8,1946
奶汁烤菜,2015/4/9,1827
奶汁烤菜,2015/4/10,2291
奶汁烤菜,2015/4/11,2317
奶汁烤菜,2015/4/12,2437
奶汁烤菜,2015/4/13,1650
奶汁烤菜,2015/4/14,1742
奶汁烤菜,2015/4/15,1865
奶汁烤菜,2015/4/16,1734
奶汁烤菜,2015/4/17,2495
奶汁烤菜,2015/4/18,2207
奶汁烤菜,2015/4/19,2339
奶汁烤菜,2015/4/20,1719
奶汁烤菜,2015/4/21,1689
奶汁烤菜,2015/4/22,1962
奶汁烤菜,2015/4/23,1736
奶汁烤菜,2015/4/24,2330
奶汁烤菜,2015/4/25,2119
奶汁烤菜,2015/4/26,2362
奶汁烤菜,2015/4/27,1852
奶汁烤菜,2015/4/28,1835
奶汁烤菜,2015/4/29,1736
奶汁烤菜,2015/4/30,1941
奶汁烤菜,2015/5/1,2399
奶汁烤菜,2015/5/2,2248
奶汁烤菜,2015/5/3,2288
奶汁烤菜,2015/5/4,1678
奶汁烤菜,2015/5/5,1931
奶汁烤菜,2015/5/6,1963
奶汁烤菜,2015/5/7,1823
奶汁烤菜,2015/5/8,2260
奶汁烤菜,2015/5/9,2572
奶汁烤菜,2015/5/10,2216
奶汁烤菜,2015/5/11,1841
奶汁烤菜,2015/5/12,1659
奶汁烤菜,2015/5/13,1795
奶汁烤菜,2015/5/14,1656
奶汁烤菜,2015/5/15,2181
奶汁烤菜,2015/5/16,2238
奶汁烤菜,2015/5/17,2379
奶汁烤菜,2015/5/18,1883
奶汁烤菜,2015/5/19,1680
奶汁烤菜,2015/5/20,1932
奶汁烤菜,2015/5/21,1875
奶汁烤菜,2015/5/22,2462
奶汁烤菜,2015/5/23,2175
奶汁烤菜,2015/5/24,2274
奶汁烤菜,2015/5/25,1862
奶汁烤菜,2015/5/26,1809
奶汁烤菜,2015/5/27,1746
奶汁烤菜,2015/5/28,1707
奶汁烤菜,2015/5/29,2133
奶汁烤菜,2015/5/30,2217
牛肉火锅,2015/3/1,2775
牛肉火锅,2015/3/2,2103
牛肉火锅,2015/3/3,2078
牛肉火锅,2015/3/4,1843
牛肉火锅,2015/3/5,1831
牛肉火锅,2015/3/6,2818
牛肉火锅,2015/3/7,2541
牛肉火锅,2015/3/8,2555
牛肉火锅,2015/3/9,1847
牛肉火锅,2015/3/10,2014
牛肉火锅,2015/3/11,1889
牛肉火锅,2015/3/12,1873
牛肉火锅,2015/3/13,2672
牛肉火锅,2015/3/14,2462
牛肉火锅,2015/3/15,2734
牛肉火锅,2015/3/16,1819
牛肉火锅,2015/3/17,2108
牛肉火锅,2015/3/18,1951
牛肉火锅,2015/3/19,2081
牛肉火锅,2015/3/20,2658
牛肉火锅,2015/3/21,2545
牛肉火锅,2015/3/22,2639
牛肉火锅,2015/3/23,1782
牛肉火锅,2015/3/24,1868
牛肉火锅,2015/3/25,2061
牛肉火锅,2015/3/26,1867
牛肉火锅,2015/3/27,2736
牛肉火锅,2015/3/28,2475
牛肉火锅,2015/3/29,2671
牛肉火锅,2015/3/30,2151
牛肉火锅,2015/3/31,1828
牛肉火锅,2015/4/1,1833
牛肉火锅,2015/4/2,2051
牛肉火锅,2015/4/3,2537
牛肉火锅,2015/4/4,2746
牛肉火锅,2015/4/5,2817
牛肉火锅,2015/4/6,1810
牛肉火锅,2015/4/7,1964
牛肉火锅,2015/4/8,2060
牛肉火锅,2015/4/9,1816
牛肉火锅,2015/4/10,2828
牛肉火锅,2015/4/11,2447
牛肉火锅,2015/4/12,2342
牛肉火锅,2015/4/13,2054
牛肉火锅,2015/4/14,2094
牛肉火锅,2015/4/15,1922
牛肉火锅,2015/4/16,1927
牛肉火锅,2015/4/17,2464
牛肉火锅,2015/4/18,2358
牛肉火锅,2015/4/19,2505
牛肉火锅,2015/4/20,1852
牛肉火锅,2015/4/21,1994
牛肉火锅,2015/4/22,1982
牛肉火锅,2015/4/23,2156
牛肉火锅,2015/4/24,2492
牛肉火锅,2015/4/25,2556
牛肉火锅,2015/4/26,2359
牛肉火锅,2015/4/27,2123
牛肉火锅,2015/4/28,1939
牛肉火锅,2015/4/29,2073
牛肉火锅,2015/4/30,1850
牛肉火锅,2015/5/1,2551
牛肉火锅,2015/5/2,2713
牛肉火锅,2015/5/3,2349
牛肉火锅,2015/5/4,2105
牛肉火锅,2015/5/5,1901
牛肉火锅,2015/5/6,1926
牛肉火锅,2015/5/7,1906
牛肉火锅,2015/5/8,2336
牛肉火锅,2015/5/9,2584
牛肉火锅,2015/5/10,2666
牛肉火锅,2015/5/11,2140
牛肉火锅,2015/5/12,1792
牛肉火锅,2015/5/13,2174
牛肉火锅,2015/5/14,1902
牛肉火锅,2015/5/15,2800
牛肉火锅,2015/5/16,2671
牛肉火锅,2015/5/17,2547
牛肉火锅,2015/5/18,2105
牛肉火锅,2015/5/19,1798
牛肉火锅,2015/5/20,2075
牛肉火锅,2015/5/21,1920
牛肉火锅,2015/5/22,2743
牛肉火锅,2015/5/23,2592
牛肉火锅,2015/5/24,2458
牛肉火锅,2015/5/25,2099
牛肉火锅,2015/5/26,1818
牛肉火锅,2015/5/27,2112
牛肉火锅,2015/5/28,1892
牛肉火锅,2015/5/29,2704
牛肉火锅,2015/5/30,2813
章鱼烧,2015/3/1,6218
章鱼烧,2015/3/2,5590
章鱼烧,2015/3/3,5536
章鱼烧,2015/3/4,5100
章鱼烧,2015/3/5,5040
章鱼烧,2015/3/6,6386
章鱼烧,2015/3/7,6880
章鱼烧,2015/3/8,7313
章鱼烧,2015/3/9,5251
章鱼烧,2015/3/10,5311
章鱼烧,2015/3/11,5393
章鱼烧,2015/3/12,5251
章鱼烧,2015/3/13,6799
章鱼烧,2015/3/14,6129
章鱼烧,2015/3/15,6172
章鱼烧,2015/3/16,5668
章鱼烧,2015/3/17,5501
章鱼烧,2015/3/18,4908
章鱼烧,2015/3/19,5377
章鱼烧,2015/3/20,6995
章鱼烧,2015/3/21,6644
章鱼烧,2015/3/22,7210
章鱼烧,2015/3/23,5269
章鱼烧,2015/3/24,5622
章鱼烧,2015/3/25,5276
章鱼烧,2015/3/26,5644
章鱼烧,2015/3/27,6905
章鱼烧,2015/3/28,6682
章鱼烧,2015/3/29,7396
章鱼烧,2015/3/30,5438
章鱼烧,2015/3/31,5129
章鱼烧,2015/4/1,4717
章鱼烧,2015/4/2,5290
章鱼烧,2015/4/3,6773
章鱼烧,2015/4/4,7300
章鱼烧,2015/4/5,7211
章鱼烧,2015/4/6,5590
章鱼烧,2015/4/7,5082
章鱼烧,2015/4/8,5610
章鱼烧,2015/4/9,4856
章鱼烧,2015/4/10,6490
章鱼烧,2015/4/11,7012
章鱼烧,2015/4/12,7434
章鱼烧,2015/4/13,5306
章鱼烧,2015/4/14,5248
章鱼烧,2015/4/15,4761
章鱼烧,2015/4/16,5710
章鱼烧,2015/4/17,6271
章鱼烧,2015/4/18,6227
章鱼烧,2015/4/19,7303
章鱼烧,2015/4/20,5229
章鱼烧,2015/4/21,5050
章鱼烧,2015/4/22,5632
章鱼烧,2015/4/23,4731
章鱼烧,2015/4/24,6429
章鱼烧,2015/4/25,7039
章鱼烧,2015/4/26,6414
章鱼烧,2015/4/27,5031
章鱼烧,2015/4/28,4880
章鱼烧,2015/4/29,5535
章鱼烧,2015/4/30,4851
章鱼烧,2015/5/1,7224
章鱼烧,2015/5/2,6557
章鱼烧,2015/5/3,6615
章鱼烧,2015/5/4,5355
章鱼烧,2015/5/5,4799
章鱼烧,2015/5/6,4721
章鱼烧,2015/5/7,5735
章鱼烧,2015/5/8,6900
章鱼烧,2015/5/9,7168
章鱼烧,2015/5/10,7318
章鱼烧,2015/5/11,5486
章鱼烧,2015/5/12,5720
章鱼烧,2015/5/13,4744
章鱼烧,2015/5/14,5641
章鱼烧,2015/5/15,7282
章鱼烧,2015/5/16,7160
章鱼烧,2015/5/17,6619
章鱼烧,2015/5/18,4742
章鱼烧,2015/5/19,5078
章鱼烧,2015/5/20,4984
章鱼烧,2015/5/21,5586
章鱼烧,2015/5/22,6599
章鱼烧,2015/5/23,6521
章鱼烧,2015/5/24,7138
章鱼烧,2015/5/25,5580
章鱼烧,2015/5/26,5176
章鱼烧,2015/5/27,5460
章鱼烧,2015/5/28,4807
章鱼烧,2015/5/29,6406
章鱼烧,2015/5/30,7402
比萨饼,2015/3/1,4575
比萨饼,2015/3/2,3564
比萨饼,2015/3/3,3295
比萨饼,2015/3/4,3413
比萨饼,2015/3/5,3550
比萨饼,2015/3/6,4693
比萨饼,2015/3/7,4255
比萨饼,2015/3/8,3998
比萨饼,2015/3/9,3434
比萨饼,2015/3/10,3515
比萨饼,2015/3/11,3072
比萨饼,2015/3/12,3216
比萨饼,2015/3/13,4455
比萨饼,2015/3/14,4575
比萨饼,2015/3/15,4718
比萨饼,2015/3/16,3334
比萨饼,2015/3/17,3395
比萨饼,2015/3/18,3509
比萨饼,2015/3/19,3589
比萨饼,2015/3/20,4711
比萨饼,2015/3/21,3969
比萨饼,2015/3/22,4358
比萨饼,2015/3/23,3250
比萨饼,2015/3/24,3582
比萨饼,2015/3/25,3555
比萨饼,2015/3/26,3094
比萨饼,2015/3/27,4540
比萨饼,2015/3/28,4124
比萨饼,2015/3/29,3985
比萨饼,2015/3/30,3642
比萨饼,2015/3/31,3120
比萨饼,2015/4/1,3449
比萨饼,2015/4/2,3131
比萨饼,2015/4/3,3937
比萨饼,2015/4/4,4374
比萨饼,2015/4/5,3995
比萨饼,2015/4/6,3205
比萨饼,2015/4/7,3297
比萨饼,2015/4/8,3408
比萨饼,2015/4/9,3555
比萨饼,2015/4/10,4095
比萨饼,2015/4/11,4320
比萨饼,2015/4/12,4310
比萨饼,2015/4/13,3507
比萨饼,2015/4/14,3494
比萨饼,2015/4/15,3572
比萨饼,2015/4/16,3609
比萨饼,2015/4/17,4749
比萨饼,2015/4/18,4399
比萨饼,2015/4/19,4374
比萨饼,2015/4/20,3129
比萨饼,2015/4/21,3336
比萨饼,2015/4/22,3185
比萨饼,2015/4/23,3042
比萨饼,2015/4/24,4472
比萨饼,2015/4/25,4389
比萨饼,2015/4/26,4042
比萨饼,2015/4/27,3205
比萨饼,2015/4/28,3406
比萨饼,2015/4/29,3126
比萨饼,2015/4/30,3080
比萨饼,2015/5/1,4293
比萨饼,2015/5/2,4229
比萨饼,2015/5/3,4655
比萨饼,2015/5/4,3189
比萨饼,2015/5/5,3031
比萨饼,2015/5/6,3593
比萨饼,2015/5/7,3239
比萨饼,2015/5/8,4470
比萨饼,2015/5/9,4395
比萨饼,2015/5/10,4247
比萨饼,2015/5/11,3140
比萨饼,2015/5/12,3302
比萨饼,2015/5/13,3438
比萨饼,2015/5/14,3364
比萨饼,2015/5/15,4494
比萨饼,2015/5/16,4555
比萨饼,2015/5/17,4344
比萨饼,2015/5/18,3273
比萨饼,2015/5/19,3020
比萨饼,2015/5/20,3017
比萨饼,2015/5/21,3682
比萨饼,2015/5/22,4013
比萨饼,2015/5/23,4284
比萨饼,2015/5/24,4545
比萨饼,2015/5/25,3513
比萨饼,2015/5/26,3599
比萨饼,2015/5/27,3422
比萨饼,2015/5/28,3522
比萨饼,2015/5/29,4657
比萨饼,2015/5/30,4453
油炸食品,2015/3/1,10597
油炸食品,2015/3/2,6965
油炸食品,2015/3/3,7572
油炸食品,2015/3/4,8277
油炸食品,2015/3/5,7927
油炸食品,2015/3/6,10860
油炸食品,2015/3/7,9354
油炸食品,2015/3/8,9641
油炸食品,2015/3/9,8169
油炸食品,2015/3/10,8453
油炸食品,2015/3/11,7426
油炸食品,2015/3/12,6932
油炸食品,2015/3/13,10995
油炸食品,2015/3/14,9306
油炸食品,2015/3/15,9108
油炸食品,2015/3/16,7850
油炸食品,2015/3/17,7425
油炸食品,2015/3/18,7743
油炸食品,2015/3/19,8155
油炸食品,2015/3/20,9147
油炸食品,2015/3/21,10400
油炸食品,2015/3/22,10908
油炸食品,2015/3/23,7358
油炸食品,2015/3/24,7314
油炸食品,2015/3/25,7176
油炸食品,2015/3/26,7040
油炸食品,2015/3/27,10125
油炸食品,2015/3/28,9990
油炸食品,2015/3/29,9999
油炸食品,2015/3/30,8298
油炸食品,2015/3/31,6987
油炸食品,2015/4/1,7244
油炸食品,2015/4/2,7721
油炸食品,2015/4/3,9482
油炸食品,2015/4/4,10161
油炸食品,2015/4/5,9974
油炸食品,2015/4/6,7807
油炸食品,2015/4/7,7152
油炸食品,2015/4/8,7154
油炸食品,2015/4/9,7565
油炸食品,2015/4/10,10376
油炸食品,2015/4/11,10317
油炸食品,2015/4/12,10843
油炸食品,2015/4/13,8182
油炸食品,2015/4/14,7971
油炸食品,2015/4/15,8174
油炸食品,2015/4/16,7127
油炸食品,2015/4/17,9511
油炸食品,2015/4/18,9673
油炸食品,2015/4/19,9824
油炸食品,2015/4/20,7908
油炸食品,2015/4/21,8175
油炸食品,2015/4/22,7329
油炸食品,2015/4/23,8192
油炸食品,2015/4/24,9040
油炸食品,2015/4/25,10319
油炸食品,2015/4/26,10634
油炸食品,2015/4/27,7641
油炸食品,2015/4/28,7243
油炸食品,2015/4/29,6959
油炸食品,2015/4/30,7366
油炸食品,2015/5/1,10841
油炸食品,2015/5/2,10878
油炸食品,2015/5/3,10095
油炸食品,2015/5/4,7268
油炸食品,2015/5/5,7684
油炸食品,2015/5/6,8164
油炸食品,2015/5/7,7558
油炸食品,2015/5/8,9217
油炸食品,2015/5/9,9571
油炸食品,2015/5/10,9733
油炸食品,2015/5/11,7329
油炸食品,2015/5/12,7655
油炸食品,2015/5/13,7493
油炸食品,2015/5/14,7117
油炸食品,2015/5/15,9103
油炸食品,2015/5/16,9535
油炸食品,2015/5/17,10948
油炸食品,2015/5/18,7682
油炸食品,2015/5/19,7666
油炸食品,2015/5/20,8083
油炸食品,2015/5/21,7958
油炸食品,2015/5/22,9108
油炸食品,2015/5/23,10401
油炸食品,2015/5/24,9736
油炸食品,2015/5/25,8292
油炸食品,2015/5/26,8124
油炸食品,2015/5/27,7144
油炸食品,2015/5/28,7384
油炸食品,2015/5/29,9261
油炸食品,2015/5/30,10190
土豆,2015/3/1,9160
土豆,2015/3/2,7223
土豆,2015/3/3,6697
土豆,2015/3/4,7107
土豆,2015/3/5,7644
土豆,2015/3/6,9488
土豆,2015/3/7,8280
土豆,2015/3/8,8960
土豆,2015/3/9,6339
土豆,2015/3/10,6737
土豆,2015/3/11,7286
土豆,2015/3/12,6270
土豆,2015/3/13,9540
土豆,2015/3/14,8981
土豆,2015/3/15,9448
土豆,2015/3/16,7192
土豆,2015/3/17,7060
土豆,2015/3/18,7244
土豆,2015/3/19,7179
土豆,2015/3/20,8667
土豆,2015/3/21,8319
土豆,2015/3/22,9885
土豆,2015/3/23,7289
土豆,2015/3/24,7117
土豆,2015/3/25,6431
土豆,2015/3/26,7030
土豆,2015/3/27,8619
土豆,2015/3/28,9769
土豆,2015/3/29,8160
土豆,2015/3/30,6593
土豆,2015/3/31,6445
土豆,2015/4/1,6718
土豆,2015/4/2,7275
土豆,2015/4/3,9938
土豆,2015/4/4,9437
土豆,2015/4/5,9056
土豆,2015/4/6,6871
土豆,2015/4/7,7585
土豆,2015/4/8,6431
土豆,2015/4/9,6369
土豆,2015/4/10,9752
